time_s,position_m,C_H2,C_CH4,q_H2,q_CH4,u
0.0,0.007251578987881027,0.0038311903002301497,0.021395183740954282,2.4955808902740937e-06,0.000330179758815798,0.0
0.0,0.014503157975762054,0.0038318074775824406,0.01991272630809045,2.504652092650116e-06,0.0003083907607480961,0.0
0.0,0.02175473696364308,0.0038324088640713317,0.018468198650968482,2.5135525376315144e-06,0.0002870119243586377,0.0
0.0,0.029006315951524107,0.0038329932547487393,0.017064495056859672,2.522260104071239e-06,0.00026609638470977256,0.0
0.0,0.036257894939405136,0.003833559416199922,0.015704578187051236,2.530751811349932e-06,0.0002456993412897348,0.0
0.0,0.04350947392728616,0.0038341060994997993,0.014391447958007147,2.53900403034862e-06,0.00022587755125142906,0.0
0.0,0.050761052915167186,0.003834632056291917,0.013128102917796671,2.5469927544714544e-06,0.00020668867840791034,0.0
0.0,0.058012631903048215,0.0038351360581630784,0.011917493708387586,2.554693934902469e-06,0.00018819048793900073,0.0
0.0,0.06526421089092924,0.0038356169193466735,0.010762468531463345,2.5620838817876478e-06,0.00017043988274497378,0.0
0.0,0.07251578987881027,0.0038360735226025925,0.009665710984887303,2.569139729543471e-06,0.00015349178576972946,0.0
0.0,0.0797673688666913,0.0038365048478810294,0.008629671212016597,2.575839959967819e-06,0.0001373978834838693,0.0
0.0,0.08701894785457231,0.003836910003091271,0.007656491995236767,2.58216497136143e-06,0.00012220525885270347,0.0
0.0,0.09427052684245334,0.0038372882559748727,0.006747932196616403,2.5880976757108203e-06,0.00010795495690316692,0.0
0.0,0.10152210583033437,0.0038376390657506366,0.005905290746315333,2.593624099591624e-06,9.468054135732158e-05,0.0
0.0,0.1087736848182154,0.0038379621128908892,0.0051293351211373515,2.5987339584870596e-06,8.2406715127518e-05,0.0
0.0,0.11602526380609643,0.0038382573251450336,0.004420238836233873,2.6034211695197953e-06,7.114808874597535e-05,0.0
0.0,0.12327684279397745,0.0038385248978027595,0.0037775327734124856,2.6076842651143647e-06,6.090818676325027e-05,0.0
0.0,0.13052842178185847,0.0038387653062296706,0.0032000750731202192,2.6115266707483696e-06,5.1678780610245364e-05,0.0
0.0,0.1377800007697395,0.003838979308949007,0.002686043731831974,2.614956814409885e-06,4.343962570242546e-05,0.0
0.0,0.14503157975762054,0.003839167940012056,0.002232954929847726,2.6179880439506887e-06,3.615865998062767e-05,0.0
0.0,0.15228315874550155,0.003839332490070804,0.0018377084964900786,2.620638340910442e-06,2.9792691328171825e-05,0.0
0.0,0.1595347377333826,0.0038394744764007134,0.0014966599165643713,2.6229298346351383e-06,2.4288564678491115e-05,0.0
0.0,0.16678631672126362,0.003839595603032612,0.0012057160938914115,2.624888137036293e-06,1.958475993898295e-05,0.0
0.0,0.17403789570914463,0.0038396977130318722,0.0009604499774231614,2.6265415341124668e-06,1.5613333966557592e-05,0.0
0.0,0.18128947469702567,0.003839782735689816,0.0007562274080576775,2.627920083240083e-06,1.230208887886663e-05,0.0
0.0,0.18854105368490667,0.0038398526318617478,0.0005883384158651214,2.629054673375721e-06,9.576829444649392e-06,0.0
0.0,0.19579263267278774,0.0038399093408264537,0.00045212486345642093,2.6299761074889545e-06,7.363567070687135e-06,0.0
0.0,0.20304421166066874,0.0038399547318252545,0.00034309684824569665,2.6307142624612665e-06,5.590537709655746e-06,0.0
0.0,0.21029579064854978,0.0038399905629017328,0.00025703156796959655,2.631297372024656e-06,4.189924222816178e-06,0.0
0.0,0.2175473696364308,0.003840018448884583,0.00019005022510800676,2.631751464585376e-06,3.0992067073665774e-06,0.0
0.0,0.22479894862431185,0.003840039839448575,0.0001386707228539485,2.632099972019116e-06,2.2621021498927757e-06,0.0
0.0,0.23205052761219286,0.0038400560072808674,9.983608906631343e-05,2.6323635098940154e-06,1.6290923124342374e-06,0.0
0.0,0.23930210660007387,0.003840068045578432,7.092048602322638e-05,2.632559815965839e-06,1.1575714509477508e-06,0.0
0.0,0.2465536855879549,0.0038400768734951655,4.971612601201796e-05,2.6327038235407562e-06,8.116700858648996e-07,0.0
0.0,0.2538052645758359,0.0038400832477807952,3.4405314043005014e-05,2.6328078400651454e-06,5.618260208594906e-07,0.0
0.0,0.26105684356371694,0.0038400877787153676,2.3522173123750957e-05,2.632881799064834e-06,3.841791801432919e-07,0.0
0.0,0.268308422551598,0.0038400909485093214,1.590844690093284e-05,2.632933554763693e-06,2.5986393281093777e-07,0.0
0.0,0.275560001539479,0.0038400931305615773,1.0667242091924159e-05,2.6329691924795135e-06,1.742635230754253e-07,0.0
0.0,0.28281158052736005,0.0038400946082838873,7.117812444307788e-06,2.6329933332126543e-06,1.1627845105816083e-07,0.0
0.0,0.2900631595152411,0.003840095592554794,4.753634622093765e-06,2.6330094167581685e-06,7.764644140836463e-08,0.0
0.0,0.2973147385031221,0.003840096237211057,3.205197897272495e-06,2.6330199534056317e-06,5.233786468453248e-08,0.0
0.0,0.3045663174910031,0.0038400966522869483,2.208203768289857e-06,2.6330267393012085e-06,3.60384423481094e-08,0.0
0.0,0.31181789647888414,0.0038400969149522185,1.5772936500522121e-06,2.633031034531004e-06,2.5721495119850134e-08,0.0
0.0,0.3190694754667652,0.003840097078272055,1.1850070142881042e-06,2.6330337058507063e-06,1.9305109784309716e-08,0.0
0.0,0.32632105445464615,0.0038400971780230197,9.454101707716157e-07,2.6330353377984588e-06,1.538524962845547e-08,0.0
0.0,0.33357263344252724,0.003840097237852007,8.01704011702965e-07,2.6330363168439015e-06,1.3033630750114083e-08,0.0
0.0,0.3408242124304083,0.0038400972730802735,7.170873372708395e-07,2.6330368934580732e-06,1.164863252019073e-08,0.0
0.0,0.34807579141828926,0.0038400972934374746,6.681898537818841e-07,2.6330372267442973e-06,1.0848095910623322e-08,0.0
0.0,0.3553273704061703,0.0038400973049786866,6.40467851159846e-07,2.6330374157420592e-06,1.039413288582526e-08,0.0
0.0,0.36257894939405133,0.0038400973113959414,6.2505363894716e-07,2.633037520854631e-06,1.014165798326135e-08,0.0
0.0,0.36983052838193237,0.0038400973148943925,6.166508962904053e-07,2.6330375781680833e-06,1.000399449343075e-08,0.0
0.0,0.37708210736981335,0.003840097316763828,6.121617778998338e-07,2.6330376087948465e-06,9.930431489194047e-09,0.0
0.0,0.38433368635769444,0.00384009731774286,6.098123011446527e-07,2.6330376248281997e-06,9.89192179185353e-09,0.0
0.0,0.3915852653455755,0.003840097318245812,6.086081712386886e-07,2.633037633048155e-06,9.872180629009754e-09,0.0
