time_s,position_m,C_H2,C_CH4,q_H2,q_CH4,u
0.0,0.006456946592194122,0.023745057384403176,0.02211677534616131,1.4943093157121578e-05,0.0003301795882550855,0.0
0.0,0.012913893184388243,0.023748872122352747,0.020586377399471452,1.4997288374011977e-05,0.00030843747732410125,0.0
0.0,0.019370839776582365,0.0237525877577247,0.019095738814501197,1.5050443728998928e-05,0.00028711256040450536,0.0
0.0,0.025827786368776487,0.023756196987846447,0.0176477893233775,1.510242891802144e-05,0.00026625711398030853,0.0
0.0,0.032284732960970605,0.023759692360865396,0.01624551849584338,1.515310894966054e-05,0.0002459252948535368,0.0
0.0,0.03874167955316473,0.02376306635580621,0.014891943619247481,1.5202345411413862e-05,0.00022617263209030164,0.0
0.0,0.04519862614535885,0.023766311480852377,0.013590070267223503,1.524999807630145e-05,0.00020705538242893568,0.0
0.0,0.051655572737552974,0.02376942039066262,0.012342845231490969,1.529592687038849e-05,0.00018862974089313815,0.0
0.0,0.05811251932974709,0.023772386022718903,0.011153101819119519,1.533999420735183e-05,0.00017095090415530898,0.0
0.0,0.06456946592194121,0.02377520175159759,0.010023497959109328,1.5382067676354307e-05,0.00015407199216334157,0.0
0.0,0.07102641251413534,0.023777861558675492,0.008956448117984562,1.5422023044162026e-05,0.00013804284370792037,0.0
0.0,0.07748335910632946,0.02378036021313887,0.007954050681032596,1.5459747502218393e-05,0.000122908713730318,0.0
0.0,0.08394030569852358,0.02378269345835867,0.0070180131818886465,1.5495143055767065e-05,0.00010870891366076182,0.0
0.0,0.0903972522907177,0.02378485819584565,0.006149578504276825,1.5528129917597894e-05,9.547544992447423e-05,0.0
0.0,0.09685419888291183,0.023786852657307213,0.005349455858667682,1.5558649737176827e-05,8.323172851474802e-05,0.0
0.0,0.10331114547510595,0.023788676554031624,0.0046177608563307115,1.5586668471306923e-05,7.199140340531841e-05,0.0
0.0,0.10976809206730007,0.023790331192195674,0.003953969255486281,1.5612178690028783e-05,6.175745156221908e-05,0.0
0.0,0.11622503865949418,0.023791819542993996,0.0033568888343034086,1.5635201115951728e-05,5.2521555515044895e-05,0.0
0.0,0.12268198525168832,0.02379314625791068,0.0028246532720344326,1.5655785220192577e-05,4.426386441902181e-05,0.0
0.0,0.12913893184388242,0.023794317622109512,0.0023547408569141114,1.5674008745034088e-05,3.695318570893977e-05,0.0
0.0,0.13559587843607657,0.023795341442707868,0.0019440193173188968,1.568997609069492e-05,3.054763245086057e-05,0.0
0.0,0.14205282502827069,0.02379622687337509,0.0015888161979428883,1.5703815586191968e-05,2.499571836407936e-05,0.0
0.0,0.1485097716204648,0.023796984181791932,0.0012850121573892963,1.5715675753846947e-05,2.023785655076744e-05,0.0
0.0,0.15496671821265892,0.023797624471440376,0.0010281525857353362,1.5725720762926796e-05,1.620818349685115e-05,0.0
0.0,0.16142366480485304,0.02379815937330761,0.0008135712895376463,1.57341253389013e-05,1.2836601428558923e-05,0.0
0.0,0.16788061139704716,0.02379860072580531,0.0006365189023372545,1.574106944089937e-05,1.0050913620186185e-05,0.0
0.0,0.17433755798924128,0.02379896026210807,0.000492288315777603,1.5746733034462724e-05,7.778921427881565e-06,0.0
0.0,0.1807945045814354,0.023799249323065094,0.00037632984973718975,1.575129126763113e-05,5.950359478690688e-06,0.0
0.0,0.18725145117362954,0.02379947861096724,0.00028435002983355316,1.5754910308821038e-05,4.498565332602329e-06,0.0
0.0,0.19370839776582366,0.023799657995198547,0.0002123895489601521,1.575774403247344e-05,3.361809019149209e-06,0.0
0.0,0.20016534435801778,0.023799796375759914,0.00015687801215672837,1.575993165355954e-05,2.484241905532784e-06,0.0
0.0,0.2066222909502119,0.023799901605499066,0.00011466512840720708,1.5761596326195255e-05,1.8164587866242066e-06,0.0
0.0,0.213079237542406,0.02379998046727223,8.302986675837001e-05,1.57628446451889e-05,1.3156977494532435e-06,0.0
0.0,0.21953618413460013,0.023800038698635197,5.9670545832608126e-05,1.5763766929962237e-05,9.457261835402138e-07,0.0
0.0,0.22599313072679425,0.023800081054314682,4.267976736408944e-05,1.57644381320982e-05,6.764766255620822e-07,0.0
0.0,0.23245007731898837,0.02380011139569018,3.050851524724939e-05,1.576491919133306e-05,4.835027189377252e-07,0.0
0.0,0.23890702391118251,0.023800132796677545,2.1923675812493125e-05,1.5765258667700566e-05,3.4732440676431214e-07,0.0
0.0,0.24536397050337663,0.023800147656495324,1.5962797910259895e-05,1.576549449535243e-05,2.5272432756077734e-07,0.0
0.0,0.25182091709557075,0.023800157811487345,1.1889232351502419e-05,1.5765655731028178e-05,1.88046370615549e-07,0.0
0.0,0.25827786368776484,0.02380016464014934,9.14999839663351e-06,1.5765764202023594e-05,1.4453455965589782e-07,0.0
0.0,0.264734810279959,0.023800169157486385,7.337930800470068e-06,1.5765835990395364e-05,1.157376407157957e-07,0.0
0.0,0.27119175687215313,0.023800172096610353,6.1589459937450314e-06,1.5765882718806682e-05,9.699324995475868e-08,0.0
