hot_no,hot_q_start,hot_q_end,hot_t_start,hot_t_end,hot_delta_q,cold_no,cold_q_start,cold_q_end,cold_t_start,cold_t_end,cold_delta_q
1,0,1,25,26,1,1,0,1,-20,0,1
1,1,1,26,26,0,1,1,1,0,0,0
1,1,13,26,36,12,2,1,13,0,0,12
1,13,13,36,36,0,1,13,13,0,0,0
1,13,14,36,37,1,2,13,14,0,0,1
2,14,15,36,37,1,2,14,15,0,0,1
1,15,15,37,37,0,1,15,15,0,10,0
2,15,16,37,37,0,1,15,16,10,25,0
1,16,17,37,39,2,3,16,17,30,30,2
2,17,20,37,39,3,3,17,20,30,30,3
2,20,20,39,39,0,4,20,20,30,30,0
2,20,22,39,40,2,3,20,22,30,30,2
3,22,23,39,40,1,3,22,23,30,30,1
3,23,23,40,40,0,4,23,23,30,30,0
2,23,37,40,48,13,3,23,37,30,30,13
4,37,77,40,48,41,3,37,77,30,30,41
5,77,151,40,48,73,3,77,151,30,31,73
6,151,245,40,48,95,3,151,245,31,31,95
6,245,247,48,48,2,4,245,247,30,31,2
2,247,322,48,93,75,3,247,322,31,31,75
4,322,550,48,93,228,3,322,550,31,32,228
5,550,961,48,93,412,3,550,961,32,34,412
6,961,1500,48,93,539,3,961,1500,34,36,539
7,1500,1579,48,88,79,3,1500,1579,36,37,79
7,1579,1589,88,93,10,4,1579,1589,31,37,10
2,1589,1593,93,95,4,3,1589,1593,37,37,4
4,1593,1605,93,95,12,3,1593,1605,37,37,12
6,1605,1634,93,95,29,3,1605,1634,37,37,29
7,1634,1639,93,95,5,3,1634,1639,37,37,5
8,1639,2383,93,95,744,3,1639,2383,37,40,744
8,2383,2389,95,95,6,4,2383,2389,37,40,6
2,2389,2389,95,95,0,4,2389,2389,40,40,0
4,2389,2390,95,95,1,4,2389,2390,40,41,1
6,2390,2393,95,95,3,4,2390,2393,41,42,3
7,2393,2393,95,95,0,4,2393,2393,42,43,0
8,2393,2434,95,95,41,4,2393,2434,43,65,41
8,2434,2464,95,95,30,5,2434,2464,40,65,30
2,2464,2470,95,99,6,4,2464,2470,65,68,6
4,2470,2489,95,99,19,4,2470,2489,68,79,19
6,2489,2508,95,97,19,4,2489,2508,79,89,19
6,2508,2535,97,99,26,5,2508,2535,65,87,26
7,2535,2538,95,97,3,5,2535,2538,87,89,3
7,2538,2542,97,99,4,6,2538,2542,65,65,4
8,2542,3724,95,99,1182,6,2542,3724,65,89,1182
2,3724,3727,99,101,4,4,3724,3727,89,91,4
2,3727,3730,101,103,3,5,3727,3730,89,91,3
2,3730,3732,103,104,2,6,3730,3732,89,89,2
4,3732,3755,99,104,24,6,3732,3755,89,90,24
6,3755,3812,99,104,57,6,3755,3812,90,91,57
7,3812,3821,99,104,9,6,3812,3821,91,91,9
9,3821,3831,99,104,10,6,3821,3831,91,91,10
2,3831,3840,104,109,8,4,3831,3840,91,96,8
2,3840,3845,109,112,6,5,3840,3845,91,96,6
2,3845,3852,112,116,7,6,3845,3852,91,92,7
6,3852,4003,104,116,150,6,3852,4003,92,95,150
7,4003,4028,104,116,25,6,4003,4028,95,95,25
9,4028,4054,104,116,27,6,4028,4054,95,96,27
10,4054,4068,104,116,14,6,4054,4068,96,96,14
2,4068,4069,116,117,1,4,4068,4069,96,97,1
2,4069,4070,117,118,1,5,4069,4070,96,97,1
2,4070,4074,118,120,4,6,4070,4074,96,96,4
7,4074,4081,116,120,7,6,4074,4081,96,96,7
9,4081,4089,116,120,8,6,4081,4089,96,96,8
10,4089,4093,116,120,4,6,4089,4093,96,97,4
11,4093,4100,116,120,7,6,4093,4100,97,97,7
7,4100,4100,120,120,0,4,4100,4100,97,97,0
7,4100,4100,120,120,0,5,4100,4100,97,97,0
7,4100,4101,120,121,1,6,4100,4101,97,97,1
10,4101,4101,120,121,1,6,4101,4101,97,97,1
11,4101,4102,120,121,1,6,4101,4102,97,97,1
10,4102,4103,121,121,1,4,4102,4103,97,97,1
10,4103,4104,121,122,1,5,4103,4104,97,97,1
10,4104,4112,122,130,9,6,4104,4112,97,97,9
11,4112,4130,121,130,18,6,4112,4130,97,97,18
10,4130,4135,130,134,5,4,4130,4135,97,100,5
10,4135,4138,134,137,3,5,4135,4138,97,100,3
10,4138,4149,137,147,10,6,4138,4149,97,97,10
11,4149,4181,130,147,32,6,4149,4181,97,98,32
12,4181,4268,130,147,87,6,4181,4268,98,100,87
10,4268,4270,147,148,2,4,4268,4270,100,100,2
10,4270,4271,148,149,1,5,4270,4271,100,100,1
10,4271,4316,149,190,44,6,4271,4316,100,100,44
10,4316,4387,190,255,71,7,4316,4387,100,100,71
11,4387,4591,147,255,204,7,4387,4591,100,100,204
12,4591,5148,147,255,557,7,4591,5148,100,100,557
