hot_fluid_no,cold_fluid_no,q_start_MJ_h,q_end_MJ_h,exchange_heat_MJ_h,hot_out_C_at_q_start,hot_in_C_at_q_end,cold_in_C_at_q_start,cold_out_C_at_q_end,deltaT_at_q_start_C,deltaT_at_q_end_C,min_deltaT_C
2,3,1000.0,1034.0,34.0,73.0,93.0,30.0,30.114094,43.0,62.885906,43.0
4,3,1034.0,1272.0,238.0,73.0,93.0,30.114094,30.912752,42.885906,62.087248,42.885906
5,3,1272.0,1373.0,101.0,73.0,93.0,30.912752,31.251678,42.087248,61.748322,42.087248
6,3,1373.0,1557.0,184.0,73.0,93.0,31.251678,31.869128,41.748322,61.130872,41.748322
7,3,1557.0,1596.0,39.0,73.0,93.0,31.869128,32.0,41.130872,61.0,41.130872
4,3,1606.0,1673.0,67.0,93.0,98.0,32.042735,32.32906,60.957265,65.67094,60.957265
5,3,1673.0,1702.0,29.0,93.0,98.0,32.32906,32.452991,60.67094,65.547009,60.67094
8,3,1713.0,3468.0,1755.0,93.0,98.0,32.5,40.0,60.5,58.0,58.0
8,4,3470.0,3498.0,28.0,98.0,99.0,41.666667,65.0,56.333333,34.0,34.0
8,5,3512.0,3731.0,219.0,99.0,99.0,65.140969,69.0,33.859031,30.0,30.0
4,5,3739.0,3796.0,57.0,99.0,104.0,69.142857,70.771429,29.857143,33.228571,29.857143
5,5,3796.0,3820.0,24.0,99.0,104.0,70.771429,71.457143,28.228571,32.542857,28.228571
2,5,3845.0,3861.0,16.0,107.272727,116.0,72.0,72.275862,35.272727,43.724138,35.272727
4,5,3861.0,4011.0,150.0,104.0,116.0,72.275862,74.862069,31.724138,41.137931,31.724138
7,5,4011.0,4036.0,25.0,104.0,116.0,74.862069,75.293103,29.137931,40.706897,29.137931
9,5,4036.0,4063.0,27.0,104.0,116.0,75.293103,75.758621,28.706897,40.241379,28.706897
11,5,4122.0,4140.0,18.0,121.0,130.0,77.357143,78.0,43.642857,52.0,43.642857
10,4,4140.0,4164.0,24.0,130.0,151.89781,78.0,98.0,52.0,53.89781,52.0
10,5,4164.0,4277.0,113.0,151.89781,255.0,78.0,80.271357,73.89781,174.728643,73.89781
11,5,4277.0,4513.0,236.0,130.0,255.0,80.271357,85.015075,49.728643,169.984925,49.728643
12,5,4513.0,5159.0,646.0,130.0,255.0,85.015075,98.0,44.984925,157.0,44.984925
10,4,5159.0,5185.0,26.0,255.0,278.636364,98.0,120.0,157.0,158.636364,157.0
10,5,5185.0,5247.0,62.0,278.636364,335.0,98.0,99.304015,180.636364,235.695985,180.636364
11,5,5247.0,5397.0,150.0,255.0,335.0,99.304015,102.458891,155.695985,232.541109,155.695985
12,5,5397.0,5810.0,413.0,255.0,335.0,102.458891,111.145315,152.541109,223.854685,152.541109
13,5,5810.0,6231.0,421.0,255.0,335.0,111.145315,120.0,143.854685,215.0,143.854685
10,4,6252.0,6277.0,25.0,336.0,360.0,137.0,158.100917,199.0,201.899083,199.0
11,4,6277.0,6321.0,44.0,336.0,360.0,158.100917,195.238532,177.899083,164.761468,164.761468
12,4,6321.0,6361.0,40.0,336.0,343.933884,195.238532,229.0,140.761468,114.933884,114.933884
12,6,6361.0,6442.0,81.0,343.933884,360.0,137.0,173.529412,206.933884,186.470588,186.470588
13,6,6442.0,6565.0,123.0,336.0,360.0,173.529412,229.0,162.470588,131.0,131.0
11,4,6565.0,6585.0,20.0,360.0,370.0,229.0,245.153846,131.0,124.846154,124.846154
13,4,6585.0,6591.0,6.0,360.0,361.132075,245.153846,250.0,114.846154,111.132075,111.132075
13,6,6591.0,6638.0,47.0,361.132075,370.0,229.0,250.0,132.132075,120.0,120.0
11,4,6638.0,6670.0,32.0,370.0,387.0,250.0,276.666667,120.0,110.333333,110.333333
13,4,6670.0,6758.0,88.0,370.0,387.0,276.666667,350.0,93.333333,37.0,37.0
