hot_fluid_no,cold_fluid_no,total_exchange_heat_MJ_h,min_deltaT_C,segment_count
8,3,1755.0,58.0,1
12,5,1059.0,44.984925,2
13,5,421.0,143.854685,1
11,5,404.0,43.642857,3
4,3,305.0,42.885906,2
8,5,219.0,30.0,1
4,5,207.0,29.857143,2
6,3,184.0,41.748322,1
10,5,175.0,73.89781,2
13,6,170.0,120.0,2
5,3,130.0,42.087248,2
11,4,96.0,110.333333,3
13,4,94.0,37.0,2
12,6,81.0,186.470588,1
10,4,75.0,52.0,3
12,4,40.0,114.933884,1
7,3,39.0,41.130872,1
2,3,34.0,43.0,1
8,4,28.0,34.0,1
9,5,27.0,28.706897,1
7,5,25.0,29.137931,1
5,5,24.0,28.228571,1
2,5,16.0,35.272727,1
