fluid_no,q_start_MJ_h,q_end_MJ_h,t_start_C,t_end_C,delta_q_MJ_h
2,983,999,0,0,16
3,1000,1596,30,32,597
3,1596,3468,32,40,1872
4,3468,3498,40,65,30
5,3504,3731,65,69,228
5,3734,3839,69,72,105
5,3845,4077,72,76,232
5,4078,4109,76,77,31
5,4112,4140,77,78,28
4,4140,4164,78,98,25
5,4164,5159,78,98,995
4,5159,5185,98,120,26
5,5185,6231,98,120,1046
4,6231,6252,120,137,21
4,6252,6361,137,229,109
6,6361,6565,137,229,204
4,6565,6591,229,250,25
6,6591,6638,229,250,47
4,6638,6758,250,350,120
