side,fluid_no,q_start_MJ_h,q_end_MJ_h,t_start_C,t_end_C,delta_q_MJ_h
hot,4,37,133,40,48,96
hot,5,133,174,40,48,41
hot,6,174,248,40,48,74
hot,2,248,290,48,72,42
hot,4,290,583,48,72,294
hot,5,583,708,48,72,124
hot,6,708,934,48,72,226
hot,7,934,982,48,72,48
hot,2,1000,1034,73,93,34
hot,4,1034,1272,73,93,239
hot,5,1272,1373,73,93,101
hot,6,1373,1557,73,93,184
hot,7,1557,1596,73,93,39
hot,4,1606,1673,93,98,68
hot,5,1673,1702,93,98,29
hot,8,1713,3468,93,98,1755
hot,8,3470,3498,98,99,28
hot,8,3512,3731,99,99,219
hot,4,3739,3796,99,104,57
hot,5,3796,3820,99,104,24
hot,2,3839,3861,104,116,21
hot,4,3861,4011,104,116,150
hot,7,4011,4036,104,116,25
hot,9,4036,4063,104,116,27
hot,11,4122,4140,121,130,18
hot,10,4140,4277,130,255,137
hot,11,4277,4513,130,255,236
hot,12,4513,5159,130,255,646
hot,10,5159,5247,255,335,88
hot,11,5247,5397,255,335,151
hot,12,5397,5810,255,335,412
hot,13,5810,6231,255,335,421
hot,10,6252,6277,336,360,26
hot,11,6277,6321,336,360,44
hot,12,6321,6442,336,360,121
hot,13,6442,6565,336,360,123
hot,11,6565,6585,360,370,19
hot,13,6585,6638,360,370,54
hot,11,6638,6670,370,387,32
hot,13,6670,6758,370,387,88
cold,2,983,999,0,0,16
cold,3,1000,1596,30,32,597
cold,3,1596,3468,32,40,1872
cold,4,3468,3498,40,65,30
cold,5,3504,3731,65,69,228
cold,5,3734,3839,69,72,105
cold,5,3845,4077,72,76,232
cold,5,4078,4109,76,77,31
cold,5,4112,4140,77,78,28
cold,4,4140,4164,78,98,25
cold,5,4164,5159,78,98,995
cold,4,5159,5185,98,120,26
cold,5,5185,6231,98,120,1046
cold,4,6231,6252,120,137,21
cold,4,6252,6361,137,229,109
cold,6,6361,6565,137,229,204
cold,4,6565,6591,229,250,25
cold,6,6591,6638,229,250,47
cold,4,6638,6758,250,350,120
