fluid_no,q_start_MJ_h,q_end_MJ_h,t_start_C,t_end_C,delta_q_MJ_h
4,37,133,40,48,96
5,133,174,40,48,41
6,174,248,40,48,74
2,248,290,48,72,42
4,290,583,48,72,294
5,583,708,48,72,124
6,708,934,48,72,226
7,934,982,48,72,48
2,1000,1034,73,93,34
4,1034,1272,73,93,239
5,1272,1373,73,93,101
6,1373,1557,73,93,184
7,1557,1596,73,93,39
4,1606,1673,93,98,68
5,1673,1702,93,98,29
8,1713,3468,93,98,1755
8,3470,3498,98,99,28
8,3512,3731,99,99,219
4,3739,3796,99,104,57
5,3796,3820,99,104,24
2,3839,3861,104,116,21
4,3861,4011,104,116,150
7,4011,4036,104,116,25
9,4036,4063,104,116,27
11,4122,4140,121,130,18
10,4140,4277,130,255,137
11,4277,4513,130,255,236
12,4513,5159,130,255,646
10,5159,5247,255,335,88
11,5247,5397,255,335,151
12,5397,5810,255,335,412
13,5810,6231,255,335,421
10,6252,6277,336,360,26
11,6277,6321,336,360,44
12,6321,6442,336,360,121
13,6442,6565,336,360,123
11,6565,6585,360,370,19
13,6585,6638,360,370,54
11,6638,6670,370,387,32
13,6670,6758,370,387,88
