sweep,type,A,A_unit,cost_jpy
pump_power_sweep,pump,1.0,kW,2538458.7083210917
pump_power_sweep,pump,1.1727470767766643,kW,2564578.769156827
pump_power_sweep,pump,1.3753357060882114,kW,2599771.348348243
pump_power_sweep,pump,1.6129209289015196,kW,2644401.7440289003
pump_power_sweep,pump,1.8915483044411594,kW,2698937.874816743
pump_power_sweep,pump,2.2183077446152257,kW,2763958.4631502246
pump_power_sweep,pump,2.601513922888541,kW,2840163.2763834535
pump_power_sweep,pump,3.0509178482613293,kW,2928385.6795055107
pump_power_sweep,pump,3.5779549880342247,kW,3029607.814773184
pump_power_sweep,pump,4.196036253055622,kW,3144978.7951543056
pump_power_sweep,pump,4.920889249819889,kW,3275836.3827605518
pump_power_sweep,pump,5.770958482867988,kW,3423732.7234011455
pump_power_sweep,pump,6.767874690982925,kW,3590464.827646233
pump_power_sweep,pump,7.937005259840998,kW,3778110.63177999
pump_power_sweep,pump,9.30809971683954,kW,3989071.6441735253
pump_power_sweep,pump,10.916046733269267,kW,4226123.390581956
pump_power_sweep,pump,12.80176189639899,kW,4492475.1238864735
pump_power_sweep,pump,15.0132288415928,kW,4791840.570019545
pump_power_sweep,pump,17.606720236957063,kW,5128521.854817732
pump_power_sweep,pump,20.648229689515944,kW,5507509.211977689
pump_power_sweep,pump,24.21515100899295,kW,5934599.629610237
pump_power_sweep,pump,28.398247559501975,kW,6416538.276373343
pump_power_sweep,pump,33.30396181098598,kW,6961187.388166917
pump_power_sweep,pump,39.057123858915475,kW,7577728.3309053
pump_power_sweep,pump,45.80412783284723,kW,8276903.831659254
pump_power_sweep,pump,53.71665702027626,kW,9071308.949487347
pump_power_sweep,pump,62.996052494743665,kW,9975741.314178478
pump_power_sweep,pump,73.87843641167991,kW,11007623.591401683
pump_power_sweep,pump,86.6407203386283,kW,12187514.157244746
pump_power_sweep,pump,101.60765150695082,kW,13539725.73704535
pump_power_sweep,pump,119.16007628291865,kW,15093076.477462415
pump_power_sweep,pump,139.7446311292771,kW,16881803.824789263
pump_power_sweep,pump,163.88510765209304,kW,18946678.992853437
pump_power_sweep,pump,192.19578092622115,kW,21336369.124882933
pump_power_sweep,pump,225.3970402500339,kW,24109106.003608678
pump_power_sweep,pump,264.3337200673395,kW,27334735.007972695
pump_power_sweep,pump,309.9965975024733,kW,31097236.809298355
pump_power_sweep,pump,363.547603531738,kW,35497838.14879333
pump_power_sweep,pump,426.34938931100766,kW,40658858.36876016
pump_power_sweep,pump,499.99999999999994,kW,46728477.030167766
vessel_volume_sweep,decanter,1.0,m^3,2499106.8621580205
vessel_volume_sweep,decanter,1.125335582600765,m^3,2614489.673905351
vessel_volume_sweep,decanter,1.2663801734674032,m^3,2738199.1884389226
vessel_volume_sweep,decanter,1.425102670302998,m^3,2870907.1476088124
vessel_volume_sweep,decanter,1.6037187437513303,m^3,3013347.783089406
vessel_volume_sweep,decanter,1.8047217668271702,m^3,3166324.1452160273
vessel_volume_sweep,decanter,2.0309176209047357,m^3,3330715.129038987
vessel_volume_sweep,decanter,2.2854638641349903,m^3,3507483.2796059223
vessel_volume_sweep,decanter,2.571913809059345,m^3,3697683.468737694
vessel_volume_sweep,decanter,2.8942661247167507,m^3,3902472.547169571
vessel_volume_sweep,decanter,3.257020655659783,m^3,4123120.089074235
vessel_volume_sweep,decanter,3.665241237079628,m^3,4361020.360881151
vessel_volume_sweep,decanter,4.1246263829013525,m^3,4617705.66320259
vessel_volume_sweep,decanter,4.641588833612778,m^3,4894861.213851825
